segment_id,start_lat,start_lon,end_lat,end_lon,voltage_kv,states,length_km,geometry_coords,base_ndvi,terrain_slope,last_inspection
C-001,25.6,85.1,24.8,85.5,400,Bihar,99.3,"[[np.float64(25.6), np.float64(85.1)], [np.float64(25.55789473684211), np.float64(85.12105263157895)], [np.float64(25.51578947368421), np.float64(85.14210526315789)], [np.float64(25.47368421052632), np.float64(85.16315789473684)], [np.float64(25.431578947368422), np.float64(85.18421052631578)], [np.float64(25.38947368421053), np.float64(85.20526315789473)], [np.float64(25.347368421052632), np.float64(85.22631578947367)], [np.float64(25.30526315789474), np.float64(85.24736842105263)], [np.float64(25.263157894736842), np.float64(85.26842105263158)], [np.float64(25.22105263157895), np.float64(85.28947368421052)], [np.float64(25.178947368421053), np.float64(85.31052631578947)], [np.float64(25.13684210526316), np.float64(85.33157894736841)], [np.float64(25.094736842105263), np.float64(85.35263157894737)], [np.float64(25.05263157894737), np.float64(85.37368421052632)], [np.float64(25.010526315789473), np.float64(85.39473684210526)], [np.float64(24.96842105263158), np.float64(85.41578947368421)], [np.float64(24.926315789473684), np.float64(85.43684210526315)], [np.float64(24.88421052631579), np.float64(85.4578947368421)], [np.float64(24.842105263157894), np.float64(85.47894736842105)], [np.float64(24.8), np.float64(85.5)]]",0.4661068196288384,16.0,2023-11-07
C-002,24.8,85.5,23.4,85.3,400,Jharkhand,157.0,"[[np.float64(24.8), np.float64(85.5)], [np.float64(24.726315789473684), np.float64(85.48947368421052)], [np.float64(24.652631578947368), np.float64(85.47894736842105)], [np.float64(24.57894736842105), np.float64(85.46842105263158)], [np.float64(24.50526315789474), np.float64(85.4578947368421)], [np.float64(24.431578947368422), np.float64(85.44736842105263)], [np.float64(24.357894736842105), np.float64(85.43684210526315)], [np.float64(24.28421052631579), np.float64(85.42631578947368)], [np.float64(24.210526315789473), np.float64(85.41578947368421)], [np.float64(24.136842105263156), np.float64(85.40526315789474)], [np.float64(24.063157894736843), np.float64(85.39473684210526)], [np.float64(23.989473684210527), np.float64(85.38421052631578)], [np.float64(23.91578947368421), np.float64(85.37368421052632)], [np.float64(23.842105263157894), np.float64(85.36315789473684)], [np.float64(23.768421052631577), np.float64(85.35263157894737)], [np.float64(23.69473684210526), np.float64(85.34210526315789)], [np.float64(23.621052631578948), np.float64(85.33157894736841)], [np.float64(23.54736842105263), np.float64(85.32105263157895)], [np.float64(23.473684210526315), np.float64(85.31052631578947)], [np.float64(23.4), np.float64(85.3)]]",0.3044730222129554,15.6,2023-12-23
C-003,23.4,85.3,22.6,88.4,765,West Bengal,355.4,"[[np.float64(23.4), np.float64(85.3)], [np.float64(23.357894736842105), np.float64(85.46315789473684)], [np.float64(23.31578947368421), np.float64(85.62631578947368)], [np.float64(23.273684210526316), np.float64(85.78947368421052)], [np.float64(23.23157894736842), np.float64(85.95263157894736)], [np.float64(23.189473684210526), np.float64(86.11578947368422)], [np.float64(23.14736842105263), np.float64(86.27894736842106)], [np.float64(23.105263157894736), np.float64(86.4421052631579)], [np.float64(23.063157894736843), np.float64(86.60526315789474)], [np.float64(23.021052631578947), np.float64(86.76842105263158)], [np.float64(22.978947368421053), np.float64(86.93157894736842)], [np.float64(22.936842105263157), np.float64(87.09473684210526)], [np.float64(22.894736842105264), np.float64(87.2578947368421)], [np.float64(22.852631578947367), np.float64(87.42105263157895)], [np.float64(22.810526315789474), np.float64(87.58421052631579)], [np.float64(22.76842105263158), np.float64(87.74736842105264)], [np.float64(22.726315789473684), np.float64(87.91052631578948)], [np.float64(22.68421052631579), np.float64(88.07368421052632)], [np.float64(22.642105263157895), np.float64(88.23684210526316)], [np.float64(22.6), np.float64(88.4)]]",0.3955543096234796,20.0,2023-12-03
C-004,22.6,88.4,20.3,85.8,400,Odisha,385.3,"[[np.float64(22.6), np.float64(88.4)], [np.float64(22.478947368421053), np.float64(88.26315789473685)], [np.float64(22.357894736842105), np.float64(88.1263157894737)], [np.float64(22.236842105263158), np.float64(87.98947368421054)], [np.float64(22.115789473684213), np.float64(87.85263157894737)], [np.float64(21.994736842105265), np.float64(87.71578947368421)], [np.float64(21.873684210526317), np.float64(87.57894736842105)], [np.float64(21.75263157894737), np.float64(87.4421052631579)], [np.float64(21.63157894736842), np.float64(87.30526315789474)], [np.float64(21.510526315789473), np.float64(87.16842105263159)], [np.float64(21.38947368421053), np.float64(87.03157894736842)], [np.float64(21.26842105263158), np.float64(86.89473684210526)], [np.float64(21.147368421052633), np.float64(86.7578947368421)], [np.float64(21.026315789473685), np.float64(86.62105263157895)], [np.float64(20.905263157894737), np.float64(86.48421052631579)], [np.float64(20.78421052631579), np.float64(86.34736842105264)], [np.float64(20.66315789473684), np.float64(86.21052631578947)], [np.float64(20.542105263157897), np.float64(86.07368421052631)], [np.float64(20.42105263157895), np.float64(85.93684210526315)], [np.float64(20.3), np.float64(85.8)]]",0.5249352456390088,5.0,2023-12-06
C-005,27.3,88.6,25.6,85.1,220,Sikkim-Bihar,431.9,"[[np.float64(27.3), np.float64(88.6)], [np.float64(27.210526315789476), np.float64(88.4157894736842)], [np.float64(27.121052631578948), np.float64(88.23157894736842)], [np.float64(27.031578947368423), np.float64(88.04736842105262)], [np.float64(26.942105263157895), np.float64(87.86315789473683)], [np.float64(26.85263157894737), np.float64(87.67894736842105)], [np.float64(26.763157894736842), np.float64(87.49473684210525)], [np.float64(26.673684210526318), np.float64(87.31052631578947)], [np.float64(26.58421052631579), np.float64(87.12631578947368)], [np.float64(26.494736842105265), np.float64(86.94210526315788)], [np.float64(26.405263157894737), np.float64(86.7578947368421)], [np.float64(26.315789473684212), np.float64(86.57368421052631)], [np.float64(26.226315789473684), np.float64(86.38947368421051)], [np.float64(26.13684210526316), np.float64(86.20526315789473)], [np.float64(26.04736842105263), np.float64(86.02105263157894)], [np.float64(25.957894736842107), np.float64(85.83684210526316)], [np.float64(25.86842105263158), np.float64(85.65263157894736)], [np.float64(25.778947368421054), np.float64(85.46842105263157)], [np.float64(25.689473684210526), np.float64(85.28421052631579)], [np.float64(25.6), np.float64(85.1)]]",0.32475345005041295,17.4,2023-11-20
C-006,25.0,87.8,23.8,86.2,400,Jharkhand,222.0,"[[np.float64(25.0), np.float64(87.8)], [np.float64(24.936842105263157), np.float64(87.71578947368421)], [np.float64(24.873684210526317), np.float64(87.63157894736842)], [np.float64(24.810526315789474), np.float64(87.54736842105262)], [np.float64(24.74736842105263), np.float64(87.46315789473684)], [np.float64(24.68421052631579), np.float64(87.37894736842105)], [np.float64(24.621052631578948), np.float64(87.29473684210527)], [np.float64(24.557894736842105), np.float64(87.21052631578948)], [np.float64(24.494736842105265), np.float64(87.12631578947368)], [np.float64(24.431578947368422), np.float64(87.0421052631579)], [np.float64(24.36842105263158), np.float64(86.9578947368421)], [np.float64(24.305263157894736), np.float64(86.87368421052632)], [np.float64(24.242105263157896), np.float64(86.78947368421052)], [np.float64(24.178947368421053), np.float64(86.70526315789473)], [np.float64(24.11578947368421), np.float64(86.62105263157895)], [np.float64(24.05263157894737), np.float64(86.53684210526316)], [np.float64(23.989473684210527), np.float64(86.45263157894738)], [np.float64(23.926315789473684), np.float64(86.36842105263158)], [np.float64(23.863157894736844), np.float64(86.28421052631579)], [np.float64(23.8), np.float64(86.2)]]",0.4726323553754683,4.8,2023-12-08
C-007,23.8,86.2,22.5,88.3,400,West Bengal,274.1,"[[np.float64(23.8), np.float64(86.2)], [np.float64(23.731578947368423), np.float64(86.31052631578947)], [np.float64(23.66315789473684), np.float64(86.42105263157895)], [np.float64(23.594736842105263), np.float64(86.53157894736842)], [np.float64(23.526315789473685), np.float64(86.6421052631579)], [np.float64(23.457894736842107), np.float64(86.75263157894737)], [np.float64(23.389473684210525), np.float64(86.86315789473684)], [np.float64(23.321052631578947), np.float64(86.97368421052632)], [np.float64(23.25263157894737), np.float64(87.08421052631579)], [np.float64(23.18421052631579), np.float64(87.19473684210526)], [np.float64(23.11578947368421), np.float64(87.30526315789474)], [np.float64(23.04736842105263), np.float64(87.41578947368421)], [np.float64(22.978947368421053), np.float64(87.52631578947368)], [np.float64(22.910526315789475), np.float64(87.63684210526316)], [np.float64(22.842105263157894), np.float64(87.74736842105263)], [np.float64(22.773684210526316), np.float64(87.8578947368421)], [np.float64(22.705263157894738), np.float64(87.96842105263158)], [np.float64(22.63684210526316), np.float64(88.07894736842105)], [np.float64(22.568421052631578), np.float64(88.18947368421053)], [np.float64(22.5), np.float64(88.3)]]",0.31847632586190866,24.1,2023-12-01
C-008,22.5,88.3,21.5,86.0,220,Odisha,278.4,"[[np.float64(22.5), np.float64(88.3)], [np.float64(22.44736842105263), np.float64(88.17894736842105)], [np.float64(22.394736842105264), np.float64(88.0578947368421)], [np.float64(22.342105263157894), np.float64(87.93684210526315)], [np.float64(22.289473684210527), np.float64(87.8157894736842)], [np.float64(22.236842105263158), np.float64(87.69473684210526)], [np.float64(22.18421052631579), np.float64(87.57368421052631)], [np.float64(22.13157894736842), np.float64(87.45263157894736)], [np.float64(22.07894736842105), np.float64(87.33157894736841)], [np.float64(22.026315789473685), np.float64(87.21052631578947)], [np.float64(21.973684210526315), np.float64(87.08947368421053)], [np.float64(21.92105263157895), np.float64(86.96842105263158)], [np.float64(21.86842105263158), np.float64(86.84736842105264)], [np.float64(21.815789473684212), np.float64(86.72631578947369)], [np.float64(21.763157894736842), np.float64(86.60526315789474)], [np.float64(21.710526315789473), np.float64(86.48421052631579)], [np.float64(21.657894736842106), np.float64(86.36315789473684)], [np.float64(21.605263157894736), np.float64(86.2421052631579)], [np.float64(21.55263157894737), np.float64(86.12105263157895)], [np.float64(21.5), np.float64(86.0)]]",0.42645438444167594,20.4,2023-12-19
C-009,26.8,88.2,25.2,87.5,400,West Bengal-Sikkim,193.9,"[[np.float64(26.8), np.float64(88.2)], [np.float64(26.71578947368421), np.float64(88.16315789473684)], [np.float64(26.63157894736842), np.float64(88.1263157894737)], [np.float64(26.54736842105263), np.float64(88.08947368421053)], [np.float64(26.46315789473684), np.float64(88.05263157894737)], [np.float64(26.378947368421052), np.float64(88.01578947368421)], [np.float64(26.294736842105262), np.float64(87.97894736842106)], [np.float64(26.210526315789473), np.float64(87.9421052631579)], [np.float64(26.126315789473683), np.float64(87.90526315789474)], [np.float64(26.042105263157893), np.float64(87.86842105263158)], [np.float64(25.957894736842107), np.float64(87.83157894736843)], [np.float64(25.873684210526317), np.float64(87.79473684210527)], [np.float64(25.789473684210527), np.float64(87.7578947368421)], [np.float64(25.705263157894738), np.float64(87.72105263157894)], [np.float64(25.621052631578948), np.float64(87.6842105263158)], [np.float64(25.53684210526316), np.float64(87.64736842105263)], [np.float64(25.45263157894737), np.float64(87.61052631578947)], [np.float64(25.36842105263158), np.float64(87.57368421052631)], [np.float64(25.28421052631579), np.float64(87.53684210526316)], [np.float64(25.2), np.float64(87.5)]]",0.5463096164871084,12.2,2023-11-11
C-010,25.2,87.5,24.0,85.0,765,Bihar-Jharkhand,307.8,"[[np.float64(25.2), np.float64(87.5)], [np.float64(25.136842105263156), np.float64(87.36842105263158)], [np.float64(25.073684210526316), np.float64(87.23684210526316)], [np.float64(25.010526315789473), np.float64(87.10526315789474)], [np.float64(24.94736842105263), np.float64(86.97368421052632)], [np.float64(24.88421052631579), np.float64(86.84210526315789)], [np.float64(24.821052631578947), np.float64(86.71052631578948)], [np.float64(24.757894736842104), np.float64(86.57894736842105)], [np.float64(24.694736842105264), np.float64(86.44736842105263)], [np.float64(24.63157894736842), np.float64(86.3157894736842)], [np.float64(24.568421052631578), np.float64(86.1842105263158)], [np.float64(24.505263157894735), np.float64(86.05263157894737)], [np.float64(24.442105263157895), np.float64(85.92105263157895)], [np.float64(24.378947368421052), np.float64(85.78947368421052)], [np.float64(24.31578947368421), np.float64(85.65789473684211)], [np.float64(24.25263157894737), np.float64(85.52631578947368)], [np.float64(24.189473684210526), np.float64(85.39473684210526)], [np.float64(24.126315789473683), np.float64(85.26315789473684)], [np.float64(24.063157894736843), np.float64(85.13157894736842)], [np.float64(24.0), np.float64(85.0)]]",0.412988759460673,17.4,2023-11-09
