segment_id,month,ndvi,ndvi_3m_delta,ndvi_6m_delta,ndvi_stddev
C-001,2023-01-01,0.371,0.0,0.0,0.055
C-001,2023-02-01,0.389,0.002,0.003,0.024
C-001,2023-03-01,0.474,0.003,0.007,0.024
C-001,2023-04-01,0.524,0.005,0.01,0.042
C-001,2023-05-01,0.62,0.007,0.013,0.038
C-001,2023-06-01,0.604,0.008,0.017,0.04
C-001,2023-07-01,0.584,0.01,0.02,0.042
C-001,2023-08-01,0.593,0.012,0.023,0.06
C-001,2023-09-01,0.543,0.013,0.027,0.084
C-001,2023-10-01,0.434,0.015,0.03,0.048
C-001,2023-11-01,0.321,0.017,0.033,0.052
C-001,2023-12-01,0.3,0.018,0.037,0.055
C-001,2024-01-01,0.424,0.02,0.04,0.088
C-001,2024-02-01,0.484,0.022,0.043,0.091
C-001,2024-03-01,0.455,0.023,0.047,0.055
C-001,2024-04-01,0.591,0.025,0.05,0.045
C-001,2024-05-01,0.619,0.027,0.053,0.024
C-001,2024-06-01,0.602,0.028,0.057,0.063
C-001,2024-07-01,0.577,0.03,0.06,0.069
C-001,2024-08-01,0.547,0.032,0.063,0.046
C-001,2024-09-01,0.501,0.033,0.067,0.022
C-001,2024-10-01,0.474,0.035,0.07,0.068
C-001,2024-11-01,0.356,0.037,0.073,0.037
C-001,2024-12-01,0.354,0.038,0.077,0.02
C-002,2023-01-01,0.138,0.0,0.0,0.057
C-002,2023-02-01,0.191,0.002,0.003,0.06
C-002,2023-03-01,0.322,0.003,0.007,0.034
C-002,2023-04-01,0.37,0.005,0.01,0.034
C-002,2023-05-01,0.441,0.007,0.013,0.02
C-002,2023-06-01,0.457,0.008,0.017,0.026
C-002,2023-07-01,0.437,0.01,0.02,0.027
C-002,2023-08-01,0.422,0.012,0.023,0.051
C-002,2023-09-01,0.306,0.013,0.027,0.031
C-002,2023-10-01,0.266,0.015,0.03,0.042
C-002,2023-11-01,0.181,0.017,0.033,0.03
C-002,2023-12-01,0.159,0.018,0.037,0.034
C-002,2024-01-01,0.217,0.02,0.04,0.042
C-002,2024-02-01,0.28,0.022,0.043,0.049
C-002,2024-03-01,0.343,0.023,0.047,0.035
C-002,2024-04-01,0.379,0.025,0.05,0.045
C-002,2024-05-01,0.467,0.027,0.053,0.026
C-002,2024-06-01,0.445,0.028,0.057,0.058
C-002,2024-07-01,0.513,0.03,0.06,0.068
C-002,2024-08-01,0.404,0.032,0.063,0.027
C-002,2024-09-01,0.381,0.033,0.067,0.064
C-002,2024-10-01,0.268,0.035,0.07,0.024
C-002,2024-11-01,0.216,0.037,0.073,0.024
C-002,2024-12-01,0.249,0.038,0.077,0.076
C-003,2023-01-01,0.248,0.0,0.0,0.038
C-003,2023-02-01,0.335,0.002,0.003,0.033
