timestamp,line_id,voltage_kv,state,root_cause,duration_hours,load_mw_at_trip,hour_of_day,month,wind_speed,rainfall_mm,temperature,load_pct,line_age_years
2024-07-13 08:00:00,TL-028,220,Odisha,Bird/Animal,1.0,232.7,8,7,6.2,8.26,17.9,68.9,7
2023-10-14 20:00:00,TL-044,220,West Bengal,Equipment Failure,1.2,215.4,20,10,0.8,1.56,10.2,86.7,28
2023-06-04 03:00:00,TL-017,220,Odisha,Equipment Failure,10.7,153.1,3,6,10.4,8.62,26.6,63.5,14
2024-01-23 03:00:00,TL-021,220,Bihar,Unknown,0.1,262.8,3,1,5.9,2.24,35.2,77.1,29
2024-05-06 04:00:00,TL-018,220,Jharkhand,Unknown,5.2,240.3,4,5,0.5,0.82,32.4,43.8,10
2024-10-12 13:00:00,TL-037,400,Sikkim,Human Error,1.2,169.6,13,10,1.2,4.24,17.1,87.5,3
2023-05-30 22:00:00,TL-024,765,Bihar,Lightning,3.3,266.3,22,5,1.3,0.31,31.0,79.9,12
2024-11-09 06:00:00,TL-009,400,West Bengal,Lightning,1.1,144.5,6,11,0.2,1.0,19.3,65.7,27
2023-03-25 07:00:00,TL-025,400,Bihar,Equipment Failure,0.4,216.6,7,3,0.1,0.37,34.8,67.2,11
2024-06-04 23:00:00,TL-042,400,Jharkhand,Bird/Animal,0.6,140.8,23,6,8.6,7.11,23.6,94.7,3
2024-06-28 02:00:00,TL-023,400,West Bengal,Equipment Failure,2.3,250.5,2,6,6.2,1.78,29.7,70.3,20
2023-02-17 17:00:00,TL-003,400,Jharkhand,Tree Contact,4.7,224.2,17,2,0.8,0.11,33.5,90.8,25
2024-01-10 10:00:00,TL-043,220,Jharkhand,Unknown,3.6,101.9,10,1,0.1,0.05,29.6,73.0,15
2024-06-10 03:00:00,TL-047,400,Jharkhand,Equipment Failure,30.6,145.9,3,6,8.1,5.45,32.9,82.1,25
2023-02-07 18:00:00,TL-001,220,Jharkhand,Tree Contact,2.8,223.9,18,2,2.0,5.95,31.3,84.2,11
2024-09-09 23:00:00,TL-037,400,Jharkhand,Equipment Failure,29.6,217.1,23,9,14.6,9.56,15.1,81.6,23
2024-04-08 07:00:00,TL-014,220,Bihar,Overloading,2.1,217.6,7,4,3.4,0.35,36.0,67.8,1
2024-04-12 22:00:00,TL-042,765,Sikkim,Human Error,0.9,179.8,22,4,1.7,0.18,34.6,84.4,22
2023-03-24 07:00:00,TL-025,765,Sikkim,Lightning,1.4,150.8,7,3,8.3,0.58,38.4,67.6,29
2023-09-22 05:00:00,TL-021,400,Bihar,Unknown,11.8,223.4,5,9,6.4,4.29,17.1,63.3,5
2024-03-20 00:00:00,TL-035,765,West Bengal,Equipment Failure,4.3,151.5,0,3,0.7,0.82,39.0,81.9,11
2023-01-14 07:00:00,TL-029,400,Sikkim,Equipment Failure,0.9,165.8,7,1,5.2,1.0,27.3,71.9,8
2024-03-31 14:00:00,TL-037,400,Odisha,Overloading,0.7,165.8,14,3,1.1,2.32,37.6,77.9,27
2024-05-01 14:00:00,TL-038,400,Bihar,Overloading,0.9,192.4,14,5,0.5,0.95,33.8,78.4,26
2024-04-30 11:00:00,TL-042,220,Odisha,Tree Contact,3.2,241.5,11,4,1.7,0.29,33.5,61.6,16
2024-05-29 13:00:00,TL-012,765,West Bengal,Bird/Animal,0.5,159.8,13,5,2.7,1.4,26.7,75.8,14
2023-06-28 05:00:00,TL-033,220,Bihar,Equipment Failure,14.4,165.3,5,6,14.5,5.91,24.1,77.9,28
2024-12-11 14:00:00,TL-021,400,West Bengal,Bird/Animal,1.4,203.7,14,12,2.3,2.81,25.7,48.9,5
2024-03-06 18:00:00,TL-014,400,Bihar,Lightning,0.4,165.5,18,3,4.0,0.64,37.6,58.9,1
2023-04-07 20:00:00,TL-027,220,Bihar,Lightning,0.7,181.4,20,4,0.8,0.14,32.5,75.9,20
2024-12-01 18:00:00,TL-037,400,Sikkim,Overloading,0.8,163.0,18,12,1.0,0.13,20.5,107.2,21
2023-02-10 10:00:00,TL-047,220,Bihar,Overloading,1.6,74.8,10,2,3.7,0.11,30.9,83.1,20
2024-07-11 05:00:00,TL-025,400,Odisha,Unknown,1.9,124.1,5,7,8.1,0.13,26.1,94.8,11
2024-05-11 20:00:00,TL-027,765,West Bengal,Tree Contact,9.0,158.5,20,5,4.1,0.2,29.5,77.4,15
2023-12-03 19:00:00,TL-050,400,Bihar,Bird/Animal,0.5,308.4,19,12,1.1,0.01,20.9,49.9,14
2024-08-13 09:00:00,TL-010,220,West Bengal,Overloading,0.4,229.4,9,8,10.0,0.18,14.2,95.3,28
2024-09-16 21:00:00,TL-027,400,West Bengal,Equipment Failure,18.4,189.5,21,9,7.6,0.52,13.9,84.0,19
2024-08-08 08:00:00,TL-030,400,West Bengal,Lightning,2.4,234.3,8,8,5.1,9.76,18.7,86.1,21
2024-04-10 15:00:00,TL-039,220,Bihar,Overloading,0.2,269.0,15,4,6.7,0.84,31.8,112.3,1
