line_id,from_substation,to_substation,voltage_kv,rated_capacity_mw,length_km,conductor_type,age_years,state
TL-001,S/S-04,S/S-17,400,1000,126.4,AAAC,18,Odisha
TL-002,S/S-28,S/S-08,400,1000,83.3,ACSR,4,Jharkhand
TL-003,S/S-03,S/S-04,400,1000,81.9,ACSR,29,Sikkim
TL-004,S/S-28,S/S-06,220,400,210.0,ACSS,26,Jharkhand
TL-005,S/S-12,S/S-28,400,1000,250.0,ACSS,18,Jharkhand
TL-006,S/S-19,S/S-19,765,2200,101.0,AAAC,9,Odisha
TL-007,S/S-25,S/S-28,400,1000,227.9,AAAC,8,Bihar
TL-008,S/S-10,S/S-17,400,1000,66.3,ACSR,19,Bihar
TL-009,S/S-22,S/S-03,400,1000,163.7,ACSR,7,Bihar
TL-010,S/S-21,S/S-29,220,400,66.2,ACSR,4,Odisha
TL-011,S/S-12,S/S-22,400,1000,268.6,AAAC,29,West Bengal
TL-012,S/S-26,S/S-23,400,1000,220.7,ACSR,17,West Bengal
TL-013,S/S-03,S/S-26,400,1000,125.1,ACSR,26,Bihar
TL-014,S/S-17,S/S-05,220,400,102.0,ACSR,8,Bihar
TL-015,S/S-12,S/S-15,765,2200,280.8,ACSR,12,West Bengal
TL-016,S/S-17,S/S-09,220,400,131.5,ACSR,21,Odisha
TL-017,S/S-03,S/S-20,220,400,80.4,ACSR,23,Bihar
TL-018,S/S-14,S/S-26,220,400,163.1,ACSR,27,West Bengal
TL-019,S/S-14,S/S-23,400,1000,86.0,AAAC,25,Sikkim
TL-020,S/S-24,S/S-22,220,400,206.1,AAAC,15,Odisha
TL-021,S/S-02,S/S-25,220,400,287.3,ACSR,24,Jharkhand
TL-022,S/S-06,S/S-01,400,1000,255.2,ACSS,28,Jharkhand
TL-023,S/S-24,S/S-20,400,1000,80.2,ACSR,16,Jharkhand
TL-024,S/S-16,S/S-01,400,1000,247.5,ACSS,9,West Bengal
TL-025,S/S-25,S/S-05,220,400,135.1,ACSR,3,West Bengal
TL-026,S/S-15,S/S-12,400,1000,272.0,ACSS,26,Bihar
TL-027,S/S-24,S/S-23,220,400,272.6,ACSR,10,Sikkim
TL-028,S/S-21,S/S-14,765,2200,156.4,AAAC,17,Bihar
TL-029,S/S-17,S/S-08,400,1000,196.2,ACSR,27,Jharkhand
TL-030,S/S-22,S/S-16,220,400,78.8,AAAC,8,Jharkhand
TL-031,S/S-02,S/S-08,400,1000,264.0,ACSR,21,West Bengal
TL-032,S/S-08,S/S-15,400,1000,53.1,ACSR,20,Odisha
TL-033,S/S-14,S/S-15,220,400,158.3,AAAC,13,Jharkhand
TL-034,S/S-28,S/S-24,400,1000,180.2,AAAC,28,West Bengal
TL-035,S/S-20,S/S-22,765,2200,131.6,AAAC,4,Bihar
TL-036,S/S-04,S/S-19,400,1000,67.2,ACSS,23,Sikkim
TL-037,S/S-14,S/S-17,400,1000,219.0,ACSR,24,Bihar
TL-038,S/S-21,S/S-20,400,1000,125.9,ACSR,24,Bihar
TL-039,S/S-26,S/S-05,400,1000,127.3,ACSR,6,Odisha
TL-040,S/S-15,S/S-07,220,400,147.5,ACSR,26,Bihar
TL-041,S/S-23,S/S-19,400,1000,297.7,ACSS,3,Odisha
TL-042,S/S-13,S/S-22,400,1000,233.3,ACSR,23,Bihar
TL-043,S/S-12,S/S-11,220,400,102.0,ACSS,16,Sikkim
TL-044,S/S-15,S/S-11,400,1000,214.8,AAAC,15,Odisha
TL-045,S/S-08,S/S-08,220,400,265.3,AAAC,9,Odisha
TL-046,S/S-22,S/S-05,400,1000,154.2,AAAC,24,Jharkhand
TL-047,S/S-20,S/S-08,400,1000,145.5,ACSS,13,Bihar
TL-048,S/S-11,S/S-08,220,400,247.0,ACSR,8,Bihar
TL-049,S/S-11,S/S-12,765,2200,219.6,ACSR,29,Bihar
TL-050,S/S-28,S/S-07,765,2200,297.9,ACSR,14,Sikkim
